"parental_education","family_income","internet_access","study_environment","study_hours_per_day","attendance_rate","sleep_hours","social_media_hours","assignment_completion_rate","participation_score","online_courses_completed","tutoring","pass"
"Bachelor","High","Yes","Moderate",3.81,86.4,7.86,4.5,71.3,87.4,3,"Yes",0
"High School","Medium","Yes","Noisy",0.97,84.4,6.08,2.3,65.4,58.3,1,"Yes",0
"Master","Medium","Yes","Noisy",2.77,88.3,7.32,2.1,92.2,67.7,1,"No",0
"High School","Medium","Yes","Quiet",4.54,98.5,6.9,2.4,55.5,70.3,2,"No",0
"Bachelor","High","Yes","Moderate",2.17,79.4,6.68,0,79.4,65.6,1,"Yes",0
"High School","Low","Yes","Noisy",3.26,89,6.95,1.4,100,93.4,2,"No",0
"Bachelor","Medium","Yes","Quiet",3.01,84.5,6.01,2.9,73.9,61.9,2,"Yes",0
"Bachelor","Medium","Yes","Moderate",3.09,76.9,6.6,5.9,100,79.7,5,"Yes",0
"Bachelor","Low","Yes","Quiet",0.73,73.5,7.32,2.6,73.3,62.8,2,"No",0
"Master","Low","Yes","Moderate",3.93,95.5,8.69,1.1,82.4,76.3,3,"Yes",0
"Master","Medium","Yes","Moderate",3.69,84.7,7.77,1.6,82.8,40.1,2,"No",0
"High School","High","Yes","Quiet",2.91,91.1,6.83,2.8,92,49.5,2,"No",0
"Master","High","Yes","Quiet",1.11,75.1,6.87,4.8,100,66.1,1,"Yes",0
"High School","Medium","Yes","Quiet",1.6,92.3,6.85,2.1,89.9,96,1,"No",0
"High School","Low","Yes","Noisy",2.03,82.4,6.72,0.9,64.8,75.5,3,"No",0
"Bachelor","High","Yes","Noisy",1.68,82.1,7.45,2.8,67.8,61.5,2,"No",0
"Master","Low","Yes","Quiet",2.99,83,6.03,2.9,83.2,48.6,3,"Yes",0
"Bachelor","Medium","Yes","Quiet",1.72,74.2,7.24,4.8,80.6,92.6,1,"No",0
"High School","Medium","No","Moderate",0.5,75.2,7.27,0,64.3,58,2,"No",0
"High School","Low","Yes","Moderate",1.83,97.1,7.59,5.1,66.2,71.5,1,"Yes",0
"Master","High","Yes","Moderate",5.03,80.1,6.24,2.2,89.4,64,1,"Yes",0
"High School","Low","Yes","Moderate",1.67,90.3,7.36,2.1,100,80.7,1,"No",0
"Master","Low","Yes","Quiet",3.01,59,5.42,3,87.8,64.2,2,"Yes",0
"Master","Medium","Yes","Quiet",3,99.8,8.05,2.6,98.4,64.2,3,"No",0
"Bachelor","Low","Yes","Moderate",2.12,81.1,8.24,2.8,75.8,61.9,3,"No",0
"PhD","Low","Yes","Quiet",3.63,81.9,8.57,4.1,65.3,31.1,5,"No",0
"PhD","Medium","No","Moderate",3.27,77.2,7.36,3.7,59.4,80.5,1,"No",0
"High School","High","Yes","Noisy",3.06,86.7,8.37,1.8,68.4,100,0,"No",0
"High School","Medium","Yes","Quiet",3.79,92.4,6.87,3.7,75.2,86.5,1,"No",0
"PhD","Medium","Yes","Noisy",0.5,88.4,5.8,1.6,76.6,70.6,3,"No",0
"High School","Medium","No","Noisy",1.59,89,6.47,2.8,81.9,100,1,"No",0
"High School","Medium","Yes","Noisy",0.97,79.8,5.82,4.8,76.9,64.5,2,"No",0
"Bachelor","Medium","No","Quiet",2.97,86.9,6.02,3.1,70.3,61.1,3,"No",0
"High School","Low","Yes","Quiet",2.37,92.3,6.74,1.7,97,79.3,3,"No",0
"Master","Medium","Yes","Moderate",3.54,83.9,5.98,2.3,66.6,75.3,2,"Yes",0
"Bachelor","Low","Yes","Quiet",3.89,77.9,5.89,1.6,52.7,90.2,1,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.15,93.4,5.82,2.7,51.5,89.9,5,"No",0
"Bachelor","Medium","Yes","Moderate",1.76,72.2,6.65,2.1,83.2,50.1,2,"Yes",0
"Bachelor","Low","Yes","Noisy",1.35,92.2,7,2.3,88.7,68,1,"No",0
"Master","Low","Yes","Quiet",3.19,83,8.15,1.4,78.6,46.8,5,"No",0
"Master","Medium","Yes","Noisy",1.71,82,6.07,0.1,57.2,66.9,5,"No",0
"Bachelor","Low","Yes","Moderate",1.66,81,7.56,2.7,85.6,57,0,"No",0
"High School","Low","No","Quiet",1.56,75.1,7.51,0,81.3,96.3,1,"No",0
"High School","Low","Yes","Moderate",2.43,95.3,8.75,5.3,71.9,56.5,0,"No",0
"Bachelor","Medium","Yes","Quiet",1.43,100,7.22,4,90.6,59.6,4,"Yes",0
"Master","Medium","Yes","Moderate",2.58,77.4,6.13,2.4,83.7,59.6,1,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.66,86.5,8.32,3.4,78.3,54.9,2,"No",0
"Bachelor","High","Yes","Moderate",1.81,81.3,7.57,0.4,58.2,65.8,5,"Yes",0
"Master","Medium","No","Moderate",2.34,92.7,7.79,5.2,100,94.9,2,"No",0
"High School","Medium","Yes","Moderate",2.42,91.9,7.22,4.3,87.9,82.7,1,"No",0
"Bachelor","High","Yes","Moderate",3.21,89.1,7.23,2.9,100,47.2,4,"No",0
"Bachelor","Low","Yes","Moderate",3.21,94.6,8.05,3,90.3,67.1,3,"Yes",0
"PhD","Low","Yes","Moderate",1.52,72.4,5.81,1.6,69.2,47.6,1,"No",0
"Bachelor","Medium","Yes","Noisy",2.94,82.2,7.27,3,67.9,64.7,2,"No",0
"Bachelor","High","Yes","Quiet",1.66,87.8,5.45,4.5,70.5,78,0,"No",0
"Bachelor","Medium","Yes","Noisy",3.22,83.8,8.54,3.1,73.1,65.7,0,"No",0
"High School","Medium","Yes","Moderate",2.88,86.4,7.24,3.1,76.1,53.3,4,"Yes",0
"Bachelor","Medium","Yes","Moderate",3.36,86.8,6.55,5.2,100,67.9,3,"No",0
"Bachelor","Medium","Yes","Moderate",0.5,83.3,6.69,2.7,75.7,73,1,"Yes",0
"Bachelor","High","Yes","Noisy",0.71,80.2,6.47,4.6,76.5,60.6,0,"No",0
"Bachelor","Low","Yes","Noisy",2.28,99.7,6.54,3.9,100,77.7,1,"No",0
"Bachelor","Medium","Yes","Noisy",3.09,69.1,6.62,3.4,66.5,60.4,2,"No",0
"Bachelor","Medium","Yes","Quiet",2.42,73.7,8.02,0.1,84.8,83.8,2,"No",0
"Master","High","Yes","Quiet",5.56,82.2,7.89,5.6,78.3,84.1,3,"No",0
"High School","Medium","Yes","Quiet",4.1,67.1,6.47,3.1,52.1,37.8,4,"No",0
"Bachelor","Low","No","Quiet",3.15,81.1,7.75,4.2,40,74,4,"No",0
"Bachelor","High","Yes","Noisy",0.99,88.4,7.3,4.7,80.6,68.8,0,"Yes",0
"High School","Medium","No","Noisy",3.41,73,6.84,3.2,59.9,68.4,1,"No",0
"High School","Low","Yes","Quiet",0.5,85.3,7.31,3.3,75,65.4,3,"No",0
"PhD","Medium","Yes","Quiet",2.86,73.7,6.63,3.5,97.5,57.1,1,"No",0
"High School","Low","Yes","Quiet",3.13,86.6,7.63,2.5,97.6,52.5,2,"Yes",0
"Master","Medium","Yes","Quiet",0.88,81.1,8.14,2.6,95,83.8,1,"No",0
"High School","Medium","Yes","Noisy",2.32,83.9,8.06,3,61.4,83.1,1,"Yes",0
"High School","Medium","Yes","Moderate",1.81,77.1,6.59,3,59.1,82.8,2,"No",0
"Bachelor","Medium","Yes","Moderate",0.66,77.5,6.33,1.6,88,74.5,0,"No",0
"Bachelor","Low","Yes","Noisy",0.99,87.6,8.98,1.4,97,88,2,"No",0
"Bachelor","Medium","Yes","Noisy",1.65,89.5,8.09,1.7,66.4,51.9,3,"Yes",0
"High School","High","Yes","Moderate",3.91,76.5,8.05,5.5,69.3,93,0,"No",0
"Bachelor","Medium","Yes","Noisy",1.11,86.9,7.27,1.3,57.2,53.6,3,"No",0
"High School","High","Yes","Quiet",1.85,95.4,5.84,3.3,78.3,60.3,2,"No",0
"Bachelor","High","Yes","Quiet",2.91,84.1,8.85,4.9,73.8,74.4,0,"No",0
"Bachelor","Medium","Yes","Quiet",1.34,94.8,6.28,1.8,67.7,72.1,1,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.53,75.2,7.69,5.1,70.3,57,3,"No",0
"High School","Medium","Yes","Noisy",1.92,92.9,6.93,3.3,77.8,75.5,0,"No",0
"Bachelor","Medium","Yes","Moderate",2,82.6,6.73,4,67.7,44.1,2,"No",0
"Bachelor","Medium","Yes","Quiet",3.56,78.1,7.45,1.8,81.1,40.5,1,"No",0
"High School","Medium","Yes","Moderate",1.49,89.4,6.49,2.6,92.3,50.7,1,"No",0
"High School","Medium","Yes","Moderate",1.62,100,5.76,0.7,89.1,98,0,"No",0
"High School","Medium","Yes","Moderate",2.62,64.4,7.91,1.4,81,83,5,"No",0
"Bachelor","Medium","Yes","Moderate",4.03,91.9,4.32,2.6,77.5,67.6,1,"No",0
"Bachelor","High","Yes","Moderate",4.2,72.8,6.27,3.2,65.5,56.8,1,"No",0
"High School","Low","Yes","Noisy",2.31,84.8,8.43,2.8,76.6,72.4,1,"No",0
"Bachelor","Medium","Yes","Moderate",2.85,100,7.07,4.5,72.6,74.7,2,"No",0
"High School","Low","Yes","Quiet",2.89,82.5,5.11,4.2,89.5,54.3,1,"No",0
"High School","Low","Yes","Moderate",3.04,100,6.03,2.5,61.8,75.6,2,"No",0
"Master","Medium","Yes","Moderate",4.25,78.6,6.32,3.1,53.3,57.8,3,"No",0
"Bachelor","High","Yes","Noisy",2.11,76.2,8.98,1.8,96.7,69.7,4,"Yes",0
"Master","Medium","Yes","Moderate",3.19,72.6,6.93,3.8,62.9,58.7,0,"No",0
"Master","Medium","Yes","Noisy",3.56,90.7,8.53,5.2,81.4,84.6,1,"No",0
"High School","Medium","Yes","Quiet",2.53,80,6.18,3.7,52.6,61.6,1,"No",0
"Bachelor","Medium","No","Quiet",3.03,87.8,7.12,3.2,63.1,86.7,5,"No",0
"Bachelor","High","Yes","Moderate",3.12,90.7,8,4.2,70.6,66,4,"No",0
"High School","Medium","Yes","Quiet",4.22,94.7,8.04,2.8,82,69.2,4,"No",0
"Master","Low","Yes","Quiet",1.06,93.9,5.98,1.2,81.1,77.8,2,"No",0
"Bachelor","Medium","Yes","Quiet",3.05,92,7.29,3.5,67.4,61.9,1,"Yes",0
"Master","Medium","No","Quiet",3.03,93.3,8.15,2.3,86.4,86.4,4,"No",0
"High School","Low","No","Quiet",1.59,90.6,6.94,2.7,92.8,70.4,1,"No",0
"Master","Low","Yes","Quiet",2.91,60.1,7.59,0.3,58.4,70.1,1,"No",0
"Bachelor","Medium","Yes","Moderate",1.6,89.1,4.52,2.5,63.2,59.4,2,"No",0
"Bachelor","Medium","No","Quiet",3.09,86.7,8.08,5.5,79.5,96.2,3,"Yes",0
"Bachelor","High","No","Quiet",2.17,94.7,7,1.8,89.7,43.6,3,"No",0
"PhD","Low","Yes","Quiet",1.95,92.1,6.35,5.8,79.4,60.7,1,"Yes",0
"High School","Low","Yes","Moderate",2.11,76.5,9.6,6.4,98.7,68.2,2,"No",0
"Bachelor","Medium","Yes","Quiet",3.77,87.2,5.35,3.6,70.3,53.9,3,"Yes",0
"Bachelor","Medium","Yes","Quiet",3.16,85.1,5.83,4.5,100,67.9,2,"No",0
"Bachelor","Medium","Yes","Moderate",2.04,85.7,6.28,1.4,90.9,78.6,1,"No",0
"Master","Medium","Yes","Quiet",1,100,8.03,4.3,79.4,77.9,0,"Yes",0
"Bachelor","Low","Yes","Quiet",2.45,78.4,5.7,2.3,99,35.4,3,"No",0
"High School","High","Yes","Noisy",2.11,84.3,6.94,3,66.3,73.1,2,"No",0
"Master","Low","Yes","Quiet",2.8,90.5,7.75,2.3,82.7,31.2,2,"No",0
"Bachelor","Low","Yes","Quiet",2.63,63.4,7.21,3.7,78.1,62.5,6,"No",0
"Bachelor","High","Yes","Quiet",2.8,97.9,8.14,3,62.9,77.7,2,"No",0
"Bachelor","High","Yes","Moderate",1.96,76.8,6.22,1.2,58.2,79.5,2,"No",0
"High School","Medium","Yes","Moderate",1.33,78.1,7.67,3.1,85.4,57.4,2,"Yes",0
"Master","Medium","Yes","Quiet",1.87,100,6.81,4.6,87.5,61.9,7,"Yes",0
"Master","Low","Yes","Noisy",2.04,86,8.59,3.1,59.9,89.4,3,"No",0
"PhD","High","Yes","Noisy",0.5,84.3,6.18,0.4,59.3,66.1,2,"No",0
"Bachelor","Medium","Yes","Moderate",3.17,86.4,6.86,5.1,60.7,57.4,0,"Yes",0
"High School","High","Yes","Moderate",2.34,90.7,6.91,2.9,63.7,52.1,2,"No",0
"High School","Medium","Yes","Quiet",3.39,76.5,6.55,3.8,60.2,61.3,1,"Yes",0
"Master","Medium","Yes","Moderate",3.14,76.2,7.04,1.5,85.8,63.6,2,"No",0
"High School","Medium","Yes","Moderate",2.11,76.2,8.74,4,91.1,71.7,2,"No",0
"High School","Low","Yes","Quiet",2.42,87.3,6.16,1.8,67,52.9,3,"No",0
"Bachelor","Low","Yes","Quiet",1.32,100,6.29,1.8,53.2,73.9,3,"No",0
"PhD","Low","Yes","Noisy",2.56,95.5,6.61,2.1,100,55.2,3,"Yes",0
"PhD","Medium","Yes","Noisy",1.1,64.6,5.33,3.6,89.7,76.7,4,"No",0
"High School","Low","Yes","Moderate",3.98,98.4,4.85,4.5,63.5,55.6,3,"No",0
"High School","High","Yes","Moderate",0.5,94.7,5.79,2.1,72.3,64,1,"No",0
"High School","High","Yes","Quiet",2.51,95.6,7.44,2.5,86.1,100,1,"Yes",0
"Master","High","Yes","Moderate",3.82,76.5,6.97,2.3,66.1,86.8,4,"No",0
"High School","High","Yes","Noisy",3.02,88.7,7.1,0.6,40.8,64.2,1,"Yes",0
"Bachelor","Low","Yes","Quiet",2.3,95.3,5.32,4.1,100,77,2,"Yes",0
"Bachelor","Low","Yes","Moderate",0.5,82.1,6.27,2.3,89.9,57.3,2,"No",0
"High School","Medium","Yes","Moderate",3.44,95.9,9.07,4,62.8,65.7,2,"Yes",0
"Bachelor","Low","Yes","Noisy",2.41,79.3,8.52,1.6,88.2,67.7,3,"Yes",0
"Master","Medium","Yes","Quiet",1.62,95.6,7.25,3.7,55.4,79.6,5,"No",0
"Bachelor","Medium","Yes","Moderate",1.2,97.4,7.6,1.9,100,61.3,0,"No",0
"Bachelor","Medium","Yes","Quiet",1.6,87.9,7.6,1.6,69.1,51.9,0,"Yes",0
"Bachelor","Low","Yes","Noisy",4.07,85.9,6.1,0.6,80,47.1,1,"Yes",0
"Bachelor","Medium","Yes","Moderate",0.92,100,6.08,4,100,59.8,4,"No",0
"High School","Medium","Yes","Quiet",3.67,70.1,5.82,3.1,77.6,89.2,1,"Yes",0
"High School","Medium","Yes","Quiet",2.91,76.8,6.63,4,80.7,66.3,1,"No",0
"Bachelor","Medium","No","Noisy",3.8,89.2,8.61,2.6,64.2,62.3,5,"No",0
"Bachelor","High","Yes","Moderate",0.5,90.4,6.16,5.9,82.1,74.6,1,"Yes",0
"PhD","Medium","Yes","Moderate",1.32,85.9,7.03,0.8,60.4,69.9,3,"Yes",0
"High School","Medium","Yes","Moderate",1.69,73.5,7.17,3.7,100,59,0,"Yes",0
"PhD","Medium","Yes","Quiet",1.65,74.6,8.3,0.6,71.6,74,0,"No",0
"Bachelor","Medium","Yes","Quiet",2,87.9,7.47,1.8,74.4,47.5,1,"No",0
"Bachelor","Medium","Yes","Quiet",2.96,78.4,6.04,0.9,92.1,73.8,2,"No",0
"High School","Low","Yes","Noisy",3.07,66.6,6.86,1.6,46.5,81.8,5,"Yes",0
"Bachelor","Medium","Yes","Moderate",4.23,93.7,7.38,1.4,74.9,68.3,4,"No",0
"High School","High","Yes","Quiet",2.02,100,6,2.8,89.1,69.6,2,"No",0
"High School","High","Yes","Quiet",2.55,80.1,8.16,4.7,67.3,42.1,1,"No",0
"Master","High","Yes","Moderate",2.45,80.6,5.59,1.6,76,57.5,2,"No",0
"High School","Medium","Yes","Noisy",1.1,93.3,7.28,2.7,84.1,76.3,2,"No",0
"Master","Medium","Yes","Noisy",1.95,77.2,6.44,4.1,96.3,75.3,3,"No",0
"Bachelor","High","Yes","Moderate",2.47,86.6,7.83,3.5,100,87.9,4,"Yes",0
"Bachelor","Medium","Yes","Moderate",0.96,84.4,6.01,3.5,88.3,72.7,0,"No",0
"Bachelor","Medium","Yes","Quiet",2.68,72.3,7.41,4.3,100,82.8,4,"Yes",0
"Master","Medium","Yes","Moderate",1.72,80,6.86,4,96.5,58.2,6,"No",0
"Master","Medium","Yes","Quiet",2.8,76.7,8.08,1.5,64.7,59.6,1,"No",0
"High School","Medium","Yes","Moderate",1.63,78.8,7.42,3.9,85.1,73.8,2,"No",0
"Master","Medium","Yes","Quiet",3.72,92.4,5.41,5.2,96.4,72.7,0,"Yes",0
"High School","Low","Yes","Noisy",4.01,100,5.14,1.5,89.3,55.6,0,"No",0
"Bachelor","High","Yes","Moderate",1.55,85.8,6.55,5.3,100,70.5,2,"No",0
"High School","Medium","No","Moderate",2.6,62.9,5.67,2.9,71.3,69.5,2,"No",0
"Bachelor","Medium","Yes","Moderate",1.01,65.2,8.56,3.7,99.2,45.7,3,"No",0
"High School","Medium","Yes","Quiet",2.3,66.5,6.74,5.2,85.7,94.9,1,"No",0
"Bachelor","Medium","Yes","Quiet",2.6,82.6,6.71,2.6,91.9,100,1,"Yes",0
"Bachelor","Low","Yes","Noisy",2.74,89.9,7.8,1.9,89.5,54.1,3,"No",0
"High School","Low","Yes","Noisy",0.65,77.4,5.96,1.8,93.2,77.5,1,"No",0
"High School","Medium","Yes","Moderate",1.26,100,6.65,1.4,65,90.7,6,"Yes",0
"PhD","Low","Yes","Quiet",3.82,86.9,8.95,6,71.1,92,3,"No",0
"High School","Medium","Yes","Quiet",3.11,78.4,5.97,1,62.6,71.8,4,"No",0
"High School","Medium","Yes","Moderate",5.15,97.2,8.86,4.7,88.1,73.7,1,"No",0
"High School","Low","Yes","Noisy",2.75,87.7,6.43,1.4,62.1,86.7,2,"Yes",0
"High School","Medium","Yes","Moderate",2.1,86.9,7.6,5.9,70.9,84.8,0,"No",0
"Master","Low","Yes","Quiet",2.28,81.3,7,1.8,67.1,44.5,1,"Yes",0
"Bachelor","Low","Yes","Moderate",2.93,77.5,7.24,1.7,56.9,53.2,4,"Yes",0
"Master","Low","Yes","Moderate",2.72,74.3,7.57,2.5,87.7,65,1,"No",0
"Master","Low","Yes","Moderate",2.25,77.7,8.17,3.8,70.5,53.8,1,"Yes",0
"Master","Low","No","Moderate",0.99,84,6.1,3.1,97.2,77.4,1,"No",0
"High School","Low","Yes","Quiet",3.77,79.9,7.36,4.6,93.3,44.7,3,"Yes",0
"High School","Low","No","Noisy",3.59,89,5.19,2.9,98.5,91.9,1,"Yes",0
"Bachelor","Low","Yes","Noisy",4.11,100,9.23,3.6,66.6,58.4,2,"Yes",0
"High School","Medium","Yes","Quiet",1.69,82.5,6.17,3.1,95,54.7,3,"No",0
"High School","Medium","No","Noisy",2.2,95.1,9.39,1.1,79.8,55.6,3,"Yes",0
"High School","High","Yes","Moderate",3.92,84.2,7.01,1.3,76.2,78.4,3,"No",0
"High School","Medium","Yes","Moderate",3.98,71.8,7.83,3,82.4,44.1,3,"No",0
"Bachelor","High","Yes","Moderate",2.75,94.5,7.38,3.3,63.5,50,1,"No",0
"Master","Medium","Yes","Quiet",1.82,84.2,7.14,2,57.4,37.6,3,"No",0
"High School","High","No","Quiet",1.38,88.3,5.86,0.5,92.7,42.6,1,"No",0
"Bachelor","Medium","Yes","Noisy",1.83,72.8,7.66,0,68.7,61,2,"Yes",0
"High School","Medium","Yes","Moderate",2.23,83.9,7.49,2.5,76.4,61.1,4,"No",0
"Master","High","Yes","Noisy",0.5,80.1,6.59,5.4,70,72,2,"No",0
"Bachelor","Low","Yes","Quiet",2.5,81.8,6.38,5.2,40.1,81,4,"No",0
"Bachelor","Medium","Yes","Quiet",0.5,77.2,7.73,1.2,98.2,54.8,0,"No",0
"Bachelor","Low","Yes","Quiet",1.87,80.4,7.84,0,88.2,38.5,4,"No",0
"High School","High","Yes","Quiet",1.08,72.9,7.75,2.1,72.1,51.9,3,"No",0
"Bachelor","Medium","Yes","Noisy",1.67,80.1,6.08,2.9,73.6,51.7,1,"No",0
"Bachelor","High","Yes","Moderate",3.54,80.9,5.19,3.3,74.5,41.9,4,"No",0
"High School","Low","Yes","Quiet",2.64,82,7.37,2.3,82.8,53.3,1,"Yes",0
"High School","Medium","Yes","Moderate",2.72,100,8.15,2.5,61.4,100,3,"No",0
"Bachelor","Medium","Yes","Moderate",1.94,66.4,7,1.2,74.9,55.9,2,"No",0
"Bachelor","Medium","Yes","Moderate",1.91,92.6,7.07,3.7,77.8,59.7,1,"No",0
"Bachelor","Medium","Yes","Moderate",0.5,80.4,5.75,1.5,67.1,85.2,1,"No",0
"Bachelor","Medium","No","Quiet",3.65,82.6,6.68,2.3,58.6,54.1,0,"No",0
"Master","Medium","Yes","Noisy",2.69,88.5,7.04,4.8,76.1,69.4,0,"No",0
"Bachelor","Medium","Yes","Quiet",1.8,79.6,5.85,0.9,78.4,76.4,0,"No",0
"High School","High","No","Quiet",2.82,82.8,6.2,1.5,72.6,71.8,3,"No",0
"High School","High","Yes","Quiet",2.91,86.7,4.75,2.5,91.2,71,1,"Yes",0
"High School","Medium","Yes","Moderate",3.4,60.3,6.41,1.1,67.3,72.4,2,"No",0
"Bachelor","Medium","Yes","Quiet",1.22,98.6,7.64,3.7,68.6,66.6,3,"Yes",0
"High School","High","Yes","Quiet",3.08,74.5,6.99,3.5,71.6,63.6,1,"No",0
"Bachelor","High","Yes","Moderate",1.59,85,5.96,4.9,80.6,99.3,4,"Yes",0
"Bachelor","Medium","Yes","Quiet",1.69,96.9,8.23,2.6,98.6,72.4,0,"No",0
"Bachelor","Medium","Yes","Quiet",0.5,90.6,5.21,0,72.1,62.5,4,"No",0
"Bachelor","Low","Yes","Moderate",2.89,87.4,7.67,1.6,50.6,46.9,1,"Yes",0
"Master","Low","Yes","Quiet",0.5,81.4,7.06,0,59.8,63.9,4,"No",0
"Master","Medium","Yes","Moderate",4.81,81.8,8.85,3.4,69.3,67.6,1,"Yes",0
"Bachelor","Medium","Yes","Moderate",2.24,78.9,7.74,3.9,85.2,65,0,"Yes",0
"Master","Low","Yes","Quiet",3.06,91,6.45,0.7,87.1,44.1,6,"Yes",0
"High School","High","Yes","Noisy",3.41,85.5,7.92,2.6,82.8,73.7,3,"No",0
"Bachelor","High","Yes","Quiet",1.32,92.9,7.49,1.8,65.3,98.6,2,"No",0
"PhD","Medium","Yes","Noisy",2.45,82.6,5.31,2.9,96.1,71.7,1,"Yes",0
"Bachelor","Medium","Yes","Quiet",4.88,78.1,6.99,0.5,73.4,44.3,1,"No",0
"High School","Low","No","Moderate",3.75,68.8,7.11,3.8,100,45.3,1,"No",0
"Master","Medium","Yes","Moderate",4.62,77,6.04,1,68,82.9,2,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.58,100,6.84,2.3,77.2,74.1,1,"No",0
"Bachelor","High","Yes","Moderate",0.81,87.1,7.57,2.6,100,81,1,"No",0
"Master","Low","Yes","Quiet",2.12,85.5,7.35,5.9,95.3,51.2,1,"No",0
"Bachelor","Low","Yes","Quiet",2.56,71.9,5.99,2.7,70.8,54.4,3,"No",0
"PhD","Low","Yes","Moderate",1.48,85.3,8.81,1.7,82,81.7,2,"No",0
"PhD","Low","No","Quiet",3.45,82.8,7.69,5.3,64.3,48.6,2,"Yes",0
"High School","Medium","Yes","Moderate",1.48,82.7,7.8,3.9,73.2,76,0,"Yes",0
"High School","Medium","Yes","Noisy",3.79,92.5,6.64,0,86.3,65.9,1,"No",0
"Master","Medium","Yes","Moderate",0.86,96.6,7.11,3.1,55.9,72.3,1,"No",0
"Bachelor","Medium","Yes","Quiet",1.44,74.2,7.26,1.6,82.7,72.8,2,"No",0
"High School","Medium","Yes","Quiet",3.72,87.6,7.28,3.5,91.4,58.2,3,"No",0
"Master","Medium","Yes","Quiet",2.59,88.8,6.95,2.8,47.4,99.9,4,"No",0
"Master","Low","Yes","Moderate",2.18,83.4,6.11,3.5,100,62.7,3,"Yes",0
"High School","Low","Yes","Moderate",5.66,81.2,6.25,2.9,84.9,95.5,2,"No",0
"Bachelor","High","Yes","Quiet",2.65,59.2,6.74,3,94.5,99.6,1,"No",0
"High School","High","Yes","Quiet",2.9,78.3,6.66,4.6,84.5,86.7,1,"No",0
"Bachelor","Low","No","Quiet",2.29,74,6.3,1.4,74.4,70.4,0,"Yes",0
"High School","Low","Yes","Quiet",4.4,77.6,6.72,1.5,61,69,4,"Yes",0
"High School","Medium","Yes","Moderate",2.38,93.5,7.61,2,89.6,72.2,2,"No",0
"High School","Low","No","Noisy",2.41,88.4,7.82,3.8,87.5,76.8,4,"No",0
"Master","Medium","Yes","Moderate",3.25,93.8,6.05,1.8,85.1,63.8,0,"Yes",0
"Bachelor","Low","Yes","Moderate",3.12,92.6,6.09,2.3,68.2,65.2,4,"No",0
"Bachelor","Medium","Yes","Quiet",1.69,79.2,6.93,4.3,90.7,100,4,"No",0
"High School","Medium","Yes","Quiet",2.86,86.7,8.68,0,77.8,65.8,2,"No",0
"Bachelor","Medium","No","Quiet",4.21,68.1,6.54,0,81.1,72.1,3,"Yes",0
"Master","Low","Yes","Quiet",3.14,83.2,8.84,2.3,74.5,100,1,"Yes",0
"Bachelor","Medium","Yes","Moderate",2.75,79.6,6.84,4.2,68.5,51.9,3,"No",0
"Bachelor","Medium","Yes","Quiet",1.83,90.8,7.45,4.8,91.8,70.4,0,"No",0
"Bachelor","High","Yes","Quiet",1.88,88.8,5.81,4.4,89.1,59.6,2,"Yes",0
"Master","Medium","Yes","Quiet",1.64,79.8,7.21,2.8,74.7,57.8,1,"No",0
"High School","Low","Yes","Quiet",3.54,88.9,7.16,3.4,83.3,49.9,2,"No",0
"Master","Medium","No","Quiet",3.02,78.1,6.4,0.3,77.5,86.9,0,"Yes",0
"High School","Low","No","Moderate",0.54,95.1,7.46,2.6,73.4,68.2,2,"Yes",0
"Bachelor","Low","Yes","Quiet",2.12,62.6,6.29,2.2,59.4,68.5,1,"Yes",0
"Bachelor","Medium","Yes","Moderate",1.35,87.4,8.64,0.7,73.9,77.5,0,"No",0
"High School","Medium","Yes","Quiet",1.37,87,6.65,2.3,63.5,54.3,2,"No",0
"Master","Medium","Yes","Moderate",1.15,92,7.41,4.4,79.5,58.7,3,"No",0
"Bachelor","High","Yes","Quiet",2.52,80.6,8.86,4.8,93.4,47.1,5,"No",0
"Bachelor","Low","Yes","Noisy",2.78,96.3,6.53,4.4,92.5,48.3,0,"Yes",0
"Master","Low","Yes","Moderate",3.18,81.5,6.73,4.2,53.2,67,2,"No",0
"Master","Medium","Yes","Moderate",4.91,89.5,8.78,3.8,73.7,63.2,0,"Yes",0
"High School","Medium","Yes","Quiet",2.41,80,6.18,3.6,87.6,49.8,2,"Yes",0
"High School","Medium","No","Noisy",2.5,88.5,6.51,3,74,92.6,2,"No",0
"Master","Low","Yes","Quiet",1.6,94,8.1,4.6,60.2,66.8,2,"No",0
"High School","Medium","Yes","Noisy",3.17,100,7.78,4.5,100,66.4,1,"No",0
"High School","Medium","Yes","Moderate",1.51,95.7,7.44,0.5,86.1,57.7,1,"Yes",0
"Bachelor","High","Yes","Quiet",0.5,91.1,7.79,1.9,59.8,68.8,1,"Yes",0
"High School","Medium","Yes","Noisy",0.5,93.1,6.96,1.3,80.5,52.8,2,"No",0
"Bachelor","Medium","Yes","Quiet",0.9,87.3,8.27,2.5,65.1,78.7,1,"No",0
"Bachelor","Medium","Yes","Moderate",3.47,73.1,7.38,5.5,88.6,74.9,0,"Yes",0
"PhD","High","Yes","Noisy",4.73,90.2,6.72,7.2,96.5,76.4,2,"Yes",0
"Master","Low","Yes","Moderate",1.98,88.4,8.7,0,72.5,75,0,"No",0
